Date,Time,group,Transect,Zone,Points within Zone,distance on tape,Latitude,Longitude,quarter,species,Distance from point (m),Height (m),Circumference (cm),point location note
28/06/2014,12:02:17 PM,clalex,Seaward,0-20m,Point 1,15.8,-25.44732605,152.988028,,,,,,
28/06/2014,12:04:23 PM,clalex,Seaward,0-20m,Point 1,15.8,,,quarter 1,Rhizophora stylosa,0.9,1.8,11,
28/06/2014,12:05:50 PM,clalex,Seaward,0-20m,Point 1,15.8,,,quarter 2,Rhizophora stylosa,1.2,1.8,12,
28/06/2014,12:09:00 PM,clalex,Seaward,0-20m,Point 1,15.8,,,quarter 3,Rhizophora stylosa,1.4,4.5,15,
28/06/2014,12:09:31 PM,clalex,Seaward,0-20m,Point 1,15.8,,,quarter 3,Rhizophora stylosa,1.4,4.5,15,
28/06/2014,12:10:44 PM,clalex,Seaward,0-20m,Point 1,15.8,,,quarter 4,Rhizophora stylosa,2.2,4.4,20,
28/06/2014,12:14:03 PM,clalex,Seaward,0-20m,Point 3,9.8,-25.44726867,152.9878785,to next Transect point,,,,,
28/06/2014,12:16:27 PM,clalex,Seaward,0-20m,Point 3,9.8,,,quarter 1,Avicennia marina,2.2,12.2,1.6,
28/06/2014,12:18:00 PM,clalex,Seaward,20-40m,Point 2,26.8,-25.44727626,152.9880916,to next Transect point,,,,,
28/06/2014,12:20:51 PM,clalex,Seaward,20-40m,Point 2,26.8,,,quarter 1,Rhizophora stylosa,2.6,2.9,15,
28/06/2014,12:22:43 PM,clalex,Seaward,20-40m,Point 2,26.8,,,quarter 3,Rhizophora stylosa,1.7,3.3,11,
28/06/2014,12:26:19 PM,clalex,Seaward,20-40m,Point 2,26.8,,,quarter 4,Rhizophora stylosa,3.5,2.7,10,
28/06/2014,12:29:04 PM,clalex,Seaward,40-60m,Point 1,46.3,-25.44739248,152.9882598,to next Transect point,,,,,
28/06/2014,12:30:11 PM,clalex,Seaward,40-60m,Point 1,46.3,,,quarter 1,Rhizophora stylosa,1.2,1.1,7,
28/06/2014,12:31:23 PM,clalex,Seaward,40-60m,Point 1,46.3,,,quarter 2,Rhizophora stylosa,2.3,0.9,2,
28/06/2014,12:32:12 PM,clalex,Seaward,40-60m,Point 1,46.3,,,quarter 3,Rhizophora stylosa,0.6,0.9,3.5,
28/06/2014,12:33:08 PM,clalex,Seaward,40-60m,Point 1,46.3,,,quarter 4,Rhizophora stylosa,1.3,1.7,6,
28/06/2014,12:34:13 PM,clalex,Seaward,40-60m,Point 3,52,-25.4474777,152.9881439,to next Transect point,,,,,
28/06/2014,12:36:00 PM,clalex,Seaward,40-60m,Point 3,52,,,quarter 1,Rhizophora stylosa,1.4,0.9,3.5,
28/06/2014,12:36:55 PM,clalex,Seaward,40-60m,Point 3,52,,,quarter 2,Rhizophora stylosa,2.6,0.8,4,
28/06/2014,12:39:17 PM,clalex,Seaward,40-60m,Point 3,52,,,quarter 3,Aegialitis annulata,1.5,1.6,3.5,
28/06/2014,3:55:32 PM,clalex,,,Point 3,52,,,to next Transect point,,,,,
28/06/2014,9:46:00 AM,hhhhhhhh,Landward-Creek,0-20m,Point 1,3,-25.44775071,152.9898485,,,,,,
28/06/2014,9:48:30 AM,hhhhhhhh,Landward-Creek,0-20m,Point 1,3,,,quarter 1,Ceriops australis,0.8,1.8,0.3,
28/06/2014,9:50:55 AM,hhhhhhhh,Landward-Creek,0-20m,Point 1,3,,,quarter 2,Ceriops australis,1,2,0.3,
28/06/2014,9:52:12 AM,hhhhhhhh,Landward-Creek,0-20m,Point 1,3,,,quarter 3,Ceriops australis,0.3,0.6,,
28/06/2014,9:52:58 AM,hhhhhhhh,Landward-Creek,0-20m,Point 1,3,,,quarter 4,Ceriops australis,-3,1.8,0.2,
